english_name,Characteristic,cuisine,category,English_ingredient,description, vegetarians,allergy,keywords,temp,Calories
Mul Naengmyeon (Cold Noodles in Broth),"['Refreshing', 'mild', 'crunchy', 'nutty']",Korean,['noodle'],"['Cold noodles', 'cold noodles broth', 'onions', 'red pepper paste', 'water syrup', 'soy sauce', 'salt', 'minced garlic', 'plum blue', 'sugar', 'vinegar', 'sesame salt', 'pepper']","Mul Naengmyeon, or Cold Noodles in Broth, is a refreshing Korean dish featuring thin, chewy buckwheat noodles served in an icy, tangy broth. The broth is typically made from a combination of beef or dongchimi (radish water kimchi) broth, giving it a mildly savory and slightly sour taste. The dish is served chilled, often with ice cubes in the broth to keep it refreshingly cold. Common toppings include thinly sliced cucumbers, Korean pear, boiled egg, and sometimes slices of cold boiled beef, adding texture and flavor contrast. A splash of vinegar and a bit of mustard are usually added to taste, enhancing the tangy profile. Known for its light and cooling qualities, Mul Naengmyeon is especially popular during hot weather, providing a satisfying and invigorating meal.",1,"['sesame', 'soy']","['bit', 'Cold Noodles', 'egg', 'water', 'Broth', 'beef', 'vinegar', 'splash', 'mul', 'contrast', 'Mul Naengmyeon', 'icy', 'Korean', 'naengmyeon', 'weather', 'pear', 'tangy', 'chewy', 'buckwheat', 'cold', 'broth']",cold,350
Bibim Naengmyeon (Spicy Cold Noodles),"['Sour', 'spicy', 'chewy', 'refreshing', 'nutty']",Korean,['noodle'],"['Cold noodles', 'cold noodles', 'cucumbers', 'ssammu', 'sesame oil', 'boiled egg']","Bibim Naengmyeon, or Spicy Cold Noodles, is a Korean dish made with chewy buckwheat or sweet potato starch noodles served in a spicy, tangy sauce. Unlike its broth-based counterpart, this dish is served without liquid, with the noodles thoroughly mixed in a sauce made from gochujang (Korean chili paste), vinegar, sugar, and sesame oil, giving it a bold, spicy-sweet flavor. The noodles are typically topped with slices of cucumber, Korean pear, a boiled egg, and sometimes cold slices of beef or pork, adding freshness and contrasting textures. Bibim Naengmyeon is usually garnished with sesame seeds, and diners can adjust the flavor with additional vinegar or mustard for extra tang. Known for its vibrant taste and cooling quality, this dish is a popular choice in warm weather, providing a refreshing and invigorating meal.",1,"['sesame', 'eggs']","['Spicy Cold Noodles', 'egg', 'spicy', 'starch', 'beef', 'seed', 'pork', 'paste', 'warm', 'potato', 'vinegar', 'mustard', 'chili', 'sugar', 'Bibim Naengmyeon', 'bibim', 'Korean', 'naengmyeon', 'weather', 'sauce', 'pear', 'diner', 'tangy', 'buckwheat', 'tang', 'oil']",cold,400
Udon (Thick Wheat Noodles),"['Soft', 'nutty', 'mild']",Japanese,['noodle'],"['Udong -myeon', 'Katsuobushi', 'Tsuyu', 'soy sauce', 'salt', 'taste', 'leek']","Udon is a Japanese dish featuring thick, chewy wheat noodles typically served in a light, savory broth. The broth, usually made from dashi (a Japanese stock made from kelp and bonito flakes), soy sauce, and mirin, has a mild and slightly sweet flavor that complements the texture of the noodles. Udon can be served hot or cold, making it versatile for any season. Common toppings include green onions, tempura, kamaboko (fish cake), and sometimes a raw egg or thinly sliced beef, which adds richness to the dish. For additional flavor, a sprinkle of shichimi togarashi (Japanese seven-spice) is often added. Udon is loved for its simple, comforting taste and the hearty, satisfying texture of its thick noodles.",1,['soy'],"['versatile', 'complement', 'simple', 'tempura', 'bonito', 'onion', 'egg', 'shichimi togarashi', 'beef', 'add', 'sprinkle', 'thick', 'hearty', 'dashi', 'seven', 'mirin', 'wheat', 'cake', 'kelp', 'stock', 'sauce', 'Japanese', 'chewy', 'noodle']",warm,500
Cream Pasta,"['Soft', 'creamy', 'nutty']",Western,['noodle'],"['Olive oil', 'pasta noodles', 'bacon', 'cheddar cheese', 'salt', 'pepper', 'white milk', 'mushroom mushrooms', 'chopped', 'butter', 'vegetable']","Cream Pasta is a rich, indulgent Italian-inspired dish made with pasta tossed in a creamy sauce that’s often based on heavy cream, butter, and Parmesan cheese. The sauce is gently cooked until it reaches a smooth, velvety consistency that clings to each strand of pasta, creating a luxurious texture. Garlic is commonly sautéed in butter to add depth to the sauce, while a sprinkle of black pepper or nutmeg enhances the flavor. Variations of cream pasta may include ingredients like mushrooms, bacon, shrimp, or spinach, adding texture and complementary flavors. The dish is usually garnished with fresh herbs like parsley or basil and an extra sprinkle of Parmesan for a savory finish. Cream Pasta is loved for its comforting, hearty flavor and is enjoyed as a satisfying meal that's both creamy and flavorful.",1,['milk'],"['Garlic', 'basil', 'bacon', 'shrimp', 'enhances', 'Cream Pasta', 'mushroom', 'parsley', 'creamy', 'velvety', 'strand', 'sprinkle', 'herb', 'cream', 'depth', 'Parmesan', 'spinach', 'hearty', 'Italian', 'pepper', 'indulgent', 'pasta', 'sauce', 'nutmeg', 'butter']",warm,800
Oil Pasta (Aglio e Olio),"['Mild', 'nutty']",Western,['noodle'],"['Spaghetti', 'coarse salt', 'cocktail shrimp', 'salt', 'pepper']","Oil Pasta, or *Aglio e Olio*, is a simple yet flavorful Italian dish made with just a few ingredients: pasta, garlic, olive oil, and red pepper flakes. The dish begins by gently sautéing thinly sliced garlic in a generous amount of high-quality olive oil until it becomes fragrant and golden, infusing the oil with a rich garlic flavor. Red pepper flakes are added for a hint of heat, which balances the richness of the oil. Once the pasta is cooked, it is tossed directly in the garlic-infused oil along with a bit of pasta water, creating a silky sauce that coats each strand. The dish is often finished with a sprinkle of fresh parsley and grated Parmesan cheese, though these are optional. Loved for its simplicity and robust flavor, *Aglio e Olio* showcases how basic ingredients can create a comforting and satisfying pasta dish.",1,['shellfish'],"['bit', 'coat', 'infusing', 'parsley', 'Oil Pasta', 'flake', 'water', 'garlic', 'Parmesan', 'Italian', 'aglio', 'hint', 'showcase', 'pepper', 'pasta', 'sauce', 'richness', 'oil']",warm,700
Tomato Pasta,"['Sour', 'sweet']",Western,['noodle'],"['Spaghetti', 'tomato sauce']","Tomato Pasta is a classic Italian-inspired dish featuring pasta tossed in a rich tomato sauce made from ripe tomatoes, garlic, olive oil, and fresh herbs. The sauce starts by sautéing garlic and sometimes onions in olive oil, then adding tomatoes that are either crushed, diced, or pureed. The tomatoes are simmered until they break down and create a thick, flavorful sauce. Fresh basil or oregano is often added to enhance the natural sweetness and aroma of the tomatoes, while a touch of salt, pepper, and sometimes a pinch of sugar is used to balance the acidity. The pasta is tossed in the sauce, allowing it to absorb the rich flavors. For extra depth, a sprinkle of Parmesan cheese and a drizzle of olive oil may be added before serving. Tomato Pasta is beloved for its simplicity, vibrant flavor, and comforting warmth, making it a favorite for both quick meals and elegant dinners.",1,[],"['tomato', 'salt', 'basil', 'Tomato Pasta', 'sweetness', 'sprinkle', 'warmth', 'herb', 'depth', 'drizzle', 'Parmesan', 'sugar', 'Italian', 'oregano', 'acidity', 'pepper', 'aroma', 'pasta', 'sauce', 'dinner', 'oil']",warm,750
Sujebi (Hand-pulled Dough Soup),"['Chewy', 'mild', 'earthy']",Korean,['soup'],"['Flour', 'water', 'onion (small)', 'carrots', 'pumpkin', 'chopped garlic']","Sujebi, or Hand-pulled Dough Soup, is a traditional Korean soup made with soft, chewy pieces of hand-torn dough in a light, savory broth. The broth is typically prepared by simmering anchovies, kelp, and sometimes radish, creating a delicate, umami-rich base. Vegetables such as zucchini, potatoes, onions, and carrots are often added, enhancing the flavor and texture of the soup. The dough is made from wheat flour, kneaded until smooth, then torn into small pieces and added to the boiling broth, where it becomes tender and slightly chewy. Sujebi is commonly garnished with green onions and sometimes served with a sprinkle of chili flakes or sesame seeds for added depth. Known for its comforting and hearty qualities, Sujebi is especially popular on cold days, offering a warm, satisfying meal with simple yet rich flavors.",1,[],"['day', 'onion', 'zucchini', 'seed', 'carrot', 'flour', 'potato', 'anchovy', 'sujebi', 'dough', 'chili', 'depth', 'soup', 'hearty', 'Sujebi', 'wheat', 'Dough Soup', 'kelp', 'Korean', 'chewy', 'cold days']",warm,500
Chicken,"['Crispy', 'nutty', 'mild']",Western,"['meat', 'fried']","['Raw chicken', 'beer', 'fried powder']","Chicken is a versatile protein that can be prepared in numerous ways, each bringing out different flavors and textures. Popular methods include roasting, grilling, frying, baking, and stewing. When roasted or baked, chicken develops a golden, crispy skin while remaining tender and juicy inside. Grilled chicken has a smoky, charred flavor, perfect for marinated pieces. Fried chicken is coated in a seasoned batter or breading and deep-fried to a crispy, crunchy perfection, often paired with savory or spicy seasonings. Stewed or braised chicken, simmered slowly in broths or sauces, becomes tender and flavorful, absorbing the spices and ingredients it cooks with. Chicken pairs well with a wide range of seasonings and ingredients, making it a staple in cuisines worldwide and adaptable to any meal.",0,[],"['versatile', 'Chicken', 'cuisine', 'worldwide', 'batter', 'smoky', 'cook', 'spicy', 'protein', 'chicken', 'crispy', 'broths', 'tender', 'sauce', 'skin']",warm,250
Pizza,"['Cheese flavor', 'crispy', 'nutty']",Western,['bread'],"['Tortilla', 'liver garlic', 'pizza cheese', 'tomato sauce']","Pizza is a popular dish made from a thin or thick crust of dough topped with a flavorful tomato sauce, cheese, and a variety of toppings. The crust, typically made from wheat flour, is baked until it’s crispy on the outside and soft on the inside. Mozzarella is the most common cheese, but other types, like cheddar or Parmesan, are also used, creating a melted, gooey layer that binds the toppings. Traditional toppings range from pepperoni, mushrooms, bell peppers, and onions to olives, sausage, and basil. The pizza is baked at a high temperature, allowing the cheese to melt and the crust to become golden and slightly charred. Variations include Margherita with fresh basil and tomatoes, meat-lovers with multiple meats, or veggie-packed versions. Pizza is loved for its customizable flavors, satisfying combination of textures, and is enjoyed by people around the world as a convenient and delicious meal.",0,[],"['Margherita', 'tomato', 'basil', 'Mozzarella', 'onion', 'version', 'mushroom', 'gooey', 'cheddar', 'flour', 'melt', 'meat', 'pepperoni', 'dough', 'Parmesan', 'wheat', 'sausage', 'parmesan', 'pizza', 'sauce', 'crust', 'mozzarella', 'temperature']",warm,900
Grilled Duck,"['Rich', 'soft', 'nutty']",Korean,['meat'],"['Smoked duck meat', 'leek']","Grilled Duck is a rich and flavorful dish where duck meat, known for its slightly gamey taste and tender texture, is seasoned and grilled until the skin is crisp and golden while the meat remains juicy. The duck is often marinated with herbs, garlic, soy sauce, or spices like black pepper and five-spice powder, enhancing its natural flavors. As the duck grills, its fat renders, creating a crispy, flavorful skin that contrasts beautifully with the tender, succulent meat. Sometimes, a glaze or sauce, such as hoisin, honey, or orange sauce, is brushed on during grilling for an extra layer of sweetness and depth. Grilled duck is typically served sliced, often with sides like roasted vegetables or rice, and garnished with fresh herbs. It is celebrated for its bold flavors, crispy skin, and rich, satisfying taste.",0,[],"['hoisin', 'honey', 'spice', 'sweetness', 'orange', 'herb', 'meat', 'grill', 'depth', 'powder', 'crisp', 'crispy', 'five', 'soy', 'contrast', 'pepper', 'duck', 'render', 'tender', 'sauce', 'rice', 'skin']",warm,350
Grilled Chicken,"['Mild', 'nutty']",Korean,['meat'],"['Chicken', 'Cheongju', 'Olive You']","Grilled Chicken is a versatile dish featuring chicken that is marinated or seasoned and then cooked over a grill, resulting in juicy meat with a slightly smoky, charred flavor. The chicken can be marinated in a mix of herbs, garlic, lemon juice, olive oil, or spices like paprika, black pepper, and cumin, infusing it with a depth of flavor. As it grills, the chicken develops a golden, crispy outer layer while remaining tender and moist on the inside. Grilled chicken can be served whole, in pieces, or sliced, making it perfect for salads, wraps, or as a main dish with sides like vegetables, rice, or potatoes. Known for its simple yet delicious taste, grilled chicken is a popular, healthy option enjoyed for its balance of flavors and textures.",0,[],"['spice', 'cumin', 'garlic', 'outer', 'herb', 'chicken', 'potato', 'meat', 'crispy', 'juice', 'pepper', 'lemon', 'wrap', 'tender', 'rice', 'grill', 'oil']",warm,350
Grilled Pork,['Nutty'],Korean,['meat'],['Sirloin'],"Grilled Pork is a flavorful dish where pork cuts, often marinated or seasoned, are grilled until tender and slightly charred. Common cuts include pork chops, pork belly, or tenderloin, each offering a different texture and flavor profile. The meat is typically marinated with ingredients like garlic, soy sauce, black pepper, and herbs, or in a sweet and savory glaze made with honey, brown sugar, or hoisin sauce, which caramelizes beautifully on the grill. As it cooks, the pork develops a crispy, golden-brown exterior while remaining juicy inside, with a smoky, slightly sweet flavor from the grill. Grilled pork is often served sliced, with sides like grilled vegetables, rice, or potatoes, and garnished with fresh herbs or a sprinkle of sesame seeds. Loved for its hearty and satisfying taste, grilled pork combines tender, juicy meat with a rich, caramelized crust.",0,[],"['hoisin', 'cut', 'honey', 'smoky', 'cook', 'seed', 'pork', 'sprinkle', 'herb', 'potato', 'meat', 'chop', 'sugar', 'sesame', 'soy', 'pepper', 'tender', 'sauce', 'crust', 'rice', 'grill', 'brown', 'combine']",warm,400
Grilled Beef,"['Nutty', 'soft']",Korean,['meat'],"['Korean beef', 'sesame leaves', 'nutritional lettuce', 'olive oil', 'butter']","Grilled Beef is a savory, hearty dish that highlights the natural flavors of beef through high-heat cooking on a grill. Common cuts for grilling include ribeye, sirloin, filet mignon, and skirt steak, each offering a unique balance of tenderness, marbling, and flavor. Before grilling, the beef is often seasoned simply with salt and black pepper, or marinated in herbs, garlic, soy sauce, or spices to enhance its flavors. As it grills, the beef develops a charred, caramelized crust from the Maillard reaction, which locks in the juices and creates a rich, smoky flavor. Grilled beef is typically served sliced, making it ideal for dishes like steak salads, sandwiches, or as a main course with sides like grilled vegetables, potatoes, or rice. Known for its robust taste and juicy texture, grilled beef is a favorite for its balance of tender meat and crispy edges.",0,[' sesame'],"['cooking', 'skirt', 'spice', 'smoky', 'maillard', 'beef', 'steak', 'potato', 'meat', 'mignon', 'grill', 'Beef', 'salad', 'crispy', 'hearty', 'tenderness', 'juice', 'soy', 'filet', 'pepper', 'lock', 'sauce', 'tender', 'crust', 'rice', 'Maillard']",warm,450
Seolleongtang (Ox Bone Soup),"['Mild', 'nutty', 'soft']",Korean,"['rice', 'soup']","['Mu', 'chives', 'sugar', 'coarse salt', 'warm']","Seolleongtang, or Ox Bone Soup, is a traditional Korean soup made by simmering ox bones, brisket, and other cuts of beef for several hours until the broth turns milky white and rich in flavor. The long simmering process extracts the collagen and minerals from the bones, creating a savory and nutritious broth with a mild, creamy taste. Thinly sliced beef, green onions, and noodles or rice are often added to the broth before serving, providing additional texture and substance. The soup is typically enjoyed with salt, pepper, or chopped green onions added to taste at the table, as it is intentionally made without strong seasonings. Seolleongtang is appreciated for its soothing, comforting qualities and is often served as a nourishing meal, especially in colder weather.",0,[],"['salt', 'cut', 'table', 'Seolleongtang', 'onion', 'collagen', 'Bone Soup', 'brisket', 'beef', 'substance', 'soup', 'extract', 'bone', 'pepper', 'Korean', 'weather', 'seolleongtang', 'rice']",warm,600
Grilled Pork Intestines,"['Chewy', 'nutty']",Korean,['meat'],"['Gopchang', 'cooking oil', 'perilla powder', 'salt', 'pepper', 'green onion']","Grilled Pork Intestines, known for their unique flavor and chewy texture, are a popular dish where pork intestines are cleaned, seasoned, and grilled until crispy on the outside and tender inside. Before grilling, the intestines are often marinated with salt, pepper, garlic, or other spices to enhance their savory taste. As they cook, the outer layer becomes golden and slightly charred, while the inside retains a chewy yet juicy texture. Sometimes brushed with a sweet and savory glaze or served with dipping sauces like soy sauce, chili paste, or sesame oil with salt, grilled pork intestines offer a rich, satisfying flavor. This dish is commonly served with accompaniments like sliced garlic, green chili peppers, onions, and perilla leaves to balance the richness, making it a popular choice for those seeking bold, hearty flavors.",0,[],"['leaf', 'salt', 'spice', 'onion', 'offer', 'cook', 'garlic', 'intestine', 'pork', 'outer', 'paste', 'chili', 'crispy', 'hearty', 'soy', 'pepper', 'retains', 'tender', 'sauce', 'richness', 'chewy', 'perilla', 'oil']",warm,500
Grilled Beef Intestines,"['Nutty', 'chewy']",Korean,['meat'],"['Platoon window', 'southern window', 'flour']","Grilled Beef Intestines, prized for their rich flavor and chewy, tender texture, are a popular dish often enjoyed as a delicacy. The intestines are thoroughly cleaned and marinated with simple seasonings like salt, pepper, garlic, and sometimes a touch of sesame oil to enhance their natural flavors. When grilled, the outer layer becomes crispy and slightly charred, while the inside remains juicy and soft, creating a satisfying contrast of textures. Occasionally brushed with a sweet or spicy glaze, the intestines develop an extra layer of caramelized flavor. They are typically served with accompaniments like sliced garlic, green chili peppers, sesame oil with salt, or dipping sauces like soy sauce or chili paste to balance the richness. Grilled Beef Intestines are known for their bold taste and are often enjoyed as a hearty, flavorful option for adventurous eaters.",0,[],"['salt', 'spicy', 'beef', 'Beef Intestines', 'garlic', 'intestine', 'paste', 'chili', 'sesame', 'eater', 'soy', 'pepper', 'tender', 'sauce', 'richness', 'chewy', 'oil']",warm,600
Stir-fried Webfoot Octopus,"['Spicy', 'chewy', 'nutty']",Korean,['seafood'],"['Squash', 'onion', 'leek', 'cooking oil', 'flour']","Stir-fried Webfoot Octopus, or *Nakji Bokkeum*, is a spicy Korean dish featuring tender pieces of small octopus stir-fried in a flavorful, fiery sauce. The octopus is typically marinated in a mixture of gochujang (Korean chili paste), gochugaru (Korean chili flakes), soy sauce, garlic, ginger, and a bit of sugar or syrup to create a balanced, sweet-spicy flavor. As the octopus stir-fries, it absorbs the sauce, becoming tender and slightly chewy with a rich, savory taste. Vegetables like onions, carrots, green onions, and cabbage are often added, providing a satisfying crunch and extra flavor. The dish is usually garnished with sesame seeds and sometimes served with sliced green chili for additional heat. Stir-fried Webfoot Octopus is commonly enjoyed with a side of steamed rice or noodles to balance the spice, making it a bold, satisfying meal for lovers of intense flavors.",0,[],"['absorbs', 'bit', 'webfoot', 'ginger', 'syrup', 'spice', 'onion', 'Nakji Bokkeum*', 'Octopus', 'spicy', 'seed', 'carrot', 'paste', 'octopus', 'cabbage', 'mixture', 'chili', 'bokkeum', 'fiery', 'Korean', 'tender', 'sauce', 'rice']",warm,300
Stir-fried Octopus,"['Spicy', 'chewy', 'nutty']",Korean,['seafood'],"['Octopus', 'bean sprouts', 'onions', 'carrots', 'green onions', 'cheongyang pepper', 'red pepper', 'chopped']","Stir-fried Octopus, or *Nakji Bokkeum*, is a vibrant and spicy dish made by quickly cooking octopus in a savory, bold sauce. The octopus is usually marinated in a mix of gochujang (Korean chili paste), gochugaru (chili flakes), soy sauce, garlic, ginger, and a touch of sugar to balance the heat with a hint of sweetness. As the octopus stir-fries, it absorbs the sauce, becoming tender while retaining a slightly chewy texture that’s enjoyable to bite into. The dish is often prepared with an assortment of vegetables, such as onions, carrots, green onions, and cabbage, which add crunch and balance the spiciness. Stir-fried Octopus is typically garnished with sesame seeds and served with steamed rice or noodles to complement the intense flavors, making it a hearty, satisfying meal for fans of bold, spicy dishes.",0,[],"['absorbs', 'complement', 'ginger', 'onion', 'Nakji Bokkeum*', 'Octopus', 'spicy', 'seed', 'sweetness', 'carrot', 'paste', 'octopus', 'cabbage', 'chili', 'bokkeum', 'spiciness', 'sugar', 'hint', 'sesame', 'gochugaru', 'Korean', 'sauce', 'tender', 'mix', 'rice']",warm,350
Stir-fried Pork,"['Spicy', 'nutty']",Korean,['meat'],"['Legs', 'onions', 'carrots', 'garlic', 'green onions', 'green onions', 'green onions']","Stir-fried Pork, or Jeyuk Bokkeum in Korean cuisine, is a flavorful dish made by stir-frying thinly sliced pork in a spicy and savory sauce. The pork is typically marinated in a mix of gochujang (Korean chili paste), soy sauce, garlic, ginger, and a touch of sugar or honey to balance the spice with a hint of sweetness. As the pork cooks, it absorbs the sauce, resulting in tender, juicy meat with a deliciously caramelized glaze. Common additions include sliced onions, green onions, and carrots, which add texture and sweetness to the dish. Often garnished with sesame seeds and sliced green chilies for extra flavor, Stir-fried Pork is enjoyed with steamed rice to balance its bold, spicy taste, making it a popular and satisfying choice for a hearty meal.",0,[],"['absorbs', 'cuisine', 'ginger', 'honey', 'spice', 'onion', 'cook', 'spicy', 'seed', 'sweetness', 'carrot', 'pork', 'paste', 'chilies', 'meat', 'jeyuk', 'chili', 'bokkeum', 'sugar', 'hearty', 'hint', 'sesame', 'Jeyuk Bokkeum', 'soy', 'Korean', 'sauce', 'tender', 'mix', 'rice']",warm,450
Stir-fried Squid,"['Spicy', 'chewy', 'nutty']",Korean,['seafood'],"['Squid', 'cabbage', 'carrots', 'onions', 'green pepper', 'green onion']","Stir-fried Squid, or Ojingeo Bokkeum in Korean cuisine, is a bold and spicy dish featuring tender squid pieces quickly stir-fried in a flavorful sauce. The squid is typically sliced into rings or strips and marinated in a mixture of gochujang (Korean chili paste), gochugaru (chili flakes), soy sauce, garlic, ginger, and a hint of sugar to create a balanced sweet and spicy flavor. As it stir-fries, the squid absorbs the sauce, becoming tender and slightly chewy. Vegetables like onions, carrots, green onions, and bell peppers are often added to the pan, giving a crunchy contrast and additional sweetness. The dish is usually garnished with sesame seeds and sometimes thinly sliced green chili for an extra kick. Stir-fried Squid is commonly enjoyed with steamed rice, making it a hearty, satisfying meal known for its vibrant flavors and satisfying textures.",0,[],"['absorbs', 'cuisine', 'ginger', 'Ojingeo Bokkeum', 'onion', 'spicy', 'carrot', 'sweetness', 'seed', 'strip', 'paste', 'mixture', 'chili', 'sugar', 'hint', 'gochugaru', 'contrast', 'squid', 'Korean', 'tender', 'sauce', 'crunchy', 'rice', 'kick']",warm,400
Dakgalbi (Spicy Stir-fried Chicken),"['Spicy', 'soft', 'nutty']",Korean,['meat'],"['Chicken relief', 'onion', 'carrots', 'cabbage', 'potatoes', 'sesame leaves', 'cooking oil']","Dakgalbi, or Spicy Stir-fried Chicken, is a popular Korean dish made by stir-frying marinated chicken pieces with a variety of vegetables in a spicy, savory sauce. The chicken is typically marinated in a sauce made from gochujang (Korean chili paste), gochugaru (chili flakes), soy sauce, garlic, ginger, and a touch of sugar or honey for balance, creating a flavor profile that is both spicy and slightly sweet. Common vegetables include cabbage, sweet potatoes, carrots, and green onions, which add texture and natural sweetness to the dish. Sometimes rice cakes (*tteok*) and mozzarella cheese are added for extra chewiness and creaminess. The ingredients are cooked together in a large pan until the chicken is tender and coated in the thick, flavorful sauce. Dakgalbi is often served directly from the pan, with lettuce leaves for wrapping and steamed rice on the side, making it a communal, hearty meal that’s full of bold, satisfying flavors.",0,['sesame'],"['Dakgalbi', 'ginger', 'chewiness', 'dakgalbi', 'honey', 'onion', 'wrapping', 'spicy', 'Spicy Stir', 'carrot', 'sweetness', 'add', 'paste', 'chicken', 'potato', 'cabbage', 'chili', 'sugar', 'hearty', 'gochugaru', 'cake', 'cheese', 'Korean', 'creaminess', 'sauce', 'pan', 'tender', 'tteok', 'mozzarella']",warm,600
Pork Cutlet (Tonkatsu),"['Crispy', 'nutty']",Korean,"['meat', 'fried']","['Pork sirloin', 'flour', 'eggs', 'bread crumbs', 'salt', 'pepper', 'lettuce']","Pork Cutlet, or *Tonkatsu*, is a Japanese dish featuring a breaded and deep-fried pork cutlet that’s crispy on the outside and tender on the inside. Made with a thick cut of pork loin or tenderloin, the meat is seasoned, dredged in flour, dipped in beaten egg, and coated with panko breadcrumbs before frying. This panko coating creates a light, airy crust that turns golden and crunchy when fried. Tonkatsu is typically served with a savory and slightly sweet tonkatsu sauce, often made from a mixture of Worcestershire sauce, ketchup, and soy sauce. It is commonly accompanied by shredded cabbage, steamed rice, and miso soup for a complete meal. Loved for its contrast of crispy crust and juicy pork, Tonkatsu is a comforting, satisfying dish with a balanced flavor profile.",0,['eggs'],"['cut', 'tenderloin', 'egg', 'Worcestershire', 'Tonkatsu', 'flour', 'Pork Cutlet', 'pork', 'miso', 'cutlet', 'worcestershire', 'meat', 'breadcrumb', 'thick', 'mixture', 'cabbage', 'crispy', 'panko', 'tonkatsu', 'soy', 'contrast', 'turn', 'tender', 'sauce', 'crust', 'crunchy', 'Japanese', 'rice', 'ketchup', 'loin']",warm,800
Fish Cutlet,"['Crispy', 'nutty', 'soft']",Korean,"['seafood', 'fried']","['Freedom', 'flour', 'egg', 'breadcrumbs']","Fish Cutlet is a crispy, flavorful dish made by coating fish fillets in breadcrumbs and frying them until golden and crunchy. The fish, often a firm white variety like cod, tilapia, or haddock, is seasoned with salt, pepper, and sometimes herbs or spices for extra flavor. Each piece is dredged in flour, dipped in beaten egg, and coated in breadcrumbs or panko for a light, crispy texture. Once fried, the cutlets have a golden crust that contrasts with the tender, flaky fish inside. Fish Cutlet is commonly served with tartar sauce or a squeeze of lemon for a fresh, tangy balance, and it pairs well with side dishes like coleslaw, mashed potatoes, or a simple salad. Known for its delicate flavor and satisfying crunch, Fish Cutlet is a comforting and versatile dish enjoyed in many cuisines.",0,['eggs'],"['tartar', 'coleslaw', 'cuisine', 'cod', 'haddock', 'spice', 'egg', 'Fish Cutlet', 'flour', 'fish', 'cutlet', 'breadcrumb', 'tilapia', 'salad', 'crispy', 'panko', 'squeeze', 'contrast', 'pepper', 'lemon', 'flaky', 'tender', 'sauce', 'crunchy', 'crust', 'tangy', 'Cutlet', 'fillet']",warm,600
Rice with Fish Roe,"['Nutty', 'mild']",Korean,['rice'],"['Rice', 'flying fish eggs', 'flavored meat', 'minced radish', 'young leaf vegetables', 'lunch boxes', 'sesame oil', 'sesame seeds']","Rice with Fish Roe, or *Ikura Don* in Japanese cuisine, is a simple yet flavorful dish featuring steamed rice topped with glistening fish roe, usually salmon roe (*ikura*). The fish roe is lightly marinated in soy sauce and mirin, giving it a subtly sweet and savory flavor that complements the natural brininess. This dish is often garnished with thinly sliced nori (seaweed), finely chopped green onions, and sometimes a sprinkle of sesame seeds for extra flavor and texture. Occasionally, a quail egg yolk is placed on top to add a creamy richness that blends with the roe. Rice with Fish Roe is celebrated for its balance of flavors and textures, with the tender rice providing a mild base for the rich, briny pop of the roe, making each bite a delightful experience.",1,"['fish', 'sesame', 'eggs']","['cuisine', 'Roe', 'Ikura Don*', 'yolk', 'onion', 'egg', 'blend', 'seed', 'seaweed', 'add', 'roe', 'ikura', 'Rice', 'sesame', 'mirin', 'brininess', 'sauce', 'tender', 'richness', 'Japanese', 'pop', 'rice']",warm,500
Cold Raw Fish Soup,"['Refreshing', 'sour', 'nutty', 'mild']",Korean,"['seafood', 'raw', 'stew']","['Cucumber', 'carrots', 'cabbage', 'seafood']","Cold Raw Fish Soup, known as *Mulhoe* in Korean cuisine, is a refreshing and spicy dish featuring thinly sliced raw fish served in a chilled, tangy broth. The fish, often varieties like white fish, flounder, or squid, is cut into thin strips and combined with an assortment of fresh vegetables like cucumber, radish, and sometimes pear, adding a crunchy texture. The broth is made from a mix of cold water, gochujang (Korean chili paste), vinegar, garlic, and sometimes sugar, creating a spicy, sweet, and tangy flavor profile. Ice cubes are often added to keep the dish cold, especially in warm weather. Mulhoe is typically garnished with sesame seeds and green onions, with additional gochugaru (chili flakes) or vinegar available to adjust the spice and sourness to taste. This dish is loved for its invigorating, clean flavors and is especially popular as a cooling meal during the summer months.",0,['fish'],"['cut', 'cuisine', 'spice', 'onion', 'sweet', 'refreshing', 'flounder', 'spicy', 'water', 'Cold Raw Fish Soup', 'seed', 'fish', 'strip', 'Mulhoe', 'paste', 'cucumber', 'vinegar', 'chili', 'soup', 'vegetable', 'the summer months', 'sesame', 'gochugaru', 'squid', 'summer', 'Korean', 'weather', 'crunchy', 'tangy', 'mix', 'ice', 'mulhoe', 'cold', 'sourness']",cold,350
